Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/8/2017 6:30,0.941,1.86,3.594,3.47,97.48,29.1
1/8/2017 7:00,0.979,1.72,3.759,4.097,95.48,29.05
1/8/2017 7:30,1.028,2.06,3.614,3.552,132.48,29.1
1/8/2017 8:00,0.918,1.82,3.559,3.781,140.48,29.1
1/8/2017 8:30,0.922,1.79,3.599,5.373,132.48,29.1
1/8/2017 9:00,0.969,1.53,3.538,4.71,139.48,29.1
1/8/2017 9:30,0.966,1.63,3.576,5.228,136.48,29.1
1/8/2017 10:00,0.973,1.92,3.449,3.61,111.48,29.15
1/8/2017 10:30,1.045,1.89,3.691,4.601,135.48,29.15
1/8/2017 11:00,1.021,1.79,3.621,3.734,122.48,29.15
1/8/2017 11:30,1.014,1.84,3.787,4.209,120.48,29.2
1/8/2017 12:00,1.072,1.88,3.7,5.201,104.48,29.2
1/8/2017 12:30,1.138,1.81,3.955,4.713,97.48,29.2
1/8/2017 13:00,1.246,1.99,4.096,4.837,101.48,29.2
1/8/2017 13:30,1.259,1.98,4.032,5.054,95.48,29.2
1/8/2017 14:00,1.258,2.46,3.994,4.803,94.48,29.15
1/8/2017 14:30,1.234,1.98,4.047,6.371,94.48,29.15
1/8/2017 15:00,1.357,2.05,4.291,6.56,92.48,29.15
1/8/2017 15:30,1.284,2.08,4.159,5.791,95.48,29.15
1/8/2017 16:00,1.286,2.31,4.144,4.96,95.48,29.2
1/8/2017 16:30,1.443,2.49,4.391,5.631,98.48,29.2
1/8/2017 17:00,1.342,2.18,4.187,4.802,95.48,29.2
1/8/2017 17:30,1.344,2.26,4.205,5.782,95.48,29.2
1/8/2017 18:00,1.565,3.03,4.575,5.699,98.48,29.2
1/8/2017 18:30,1.548,2.31,4.51,5.356,102.48,29.2
1/8/2017 19:00,1.516,2.58,4.342,6.509,99.48,29.2
1/8/2017 19:30,1.477,2.47,4.426,5.476,95.48,29.2
1/8/2017 20:00,1.459,2.88,4.423,5.49,98.48,29.25
1/8/2017 20:30,1.458,2.88,4.252,5.078,98.48,29.25
1/8/2017 21:00,1.44,2.4,4.298,4.725,97.48,29.25
1/8/2017 21:30,1.348,2.34,4.289,6.23,94.48,29.2
1/8/2017 22:00,1.324,2.26,4.193,5.187,97.48,29.2
1/8/2017 22:30,1.392,2.27,4.348,5.642,97.48,29.2
1/8/2017 23:00,1.341,2.15,4.121,4.598,94.48,29.2
1/8/2017 23:30,1.28,2.22,4.187,5.515,92.48,29.2
1/9/2017 0:00,1.218,2.13,4.207,6.274,94.48,29.2
1/9/2017 0:30,1.277,2.34,4.096,6.493,92.48,29.15
1/9/2017 1:00,1.273,2.12,4.088,5.95,91.48,29.15
1/9/2017 1:30,1.262,2.19,4.176,6.811,95.48,29.1
1/9/2017 2:00,1.291,2.72,4.025,6.94,97.48,29.1
1/9/2017 2:30,1.312,2.37,4.14,5.945,91.48,29.05
1/9/2017 3:00,1.313,2.31,4.166,5.501,90.48,29
1/9/2017 3:30,1.211,1.8,4.007,5.491,97.48,28.95
1/9/2017 4:00,1.247,2.11,4.089,4.845,98.48,28.9
1/9/2017 4:30,1.258,2.36,4.015,5.513,91.48,28.85
1/9/2017 5:00,1.238,2.02,4.167,5.712,90.48,28.85
1/9/2017 5:30,1.188,1.85,4.141,6.184,90.48,28.85
